-----------
146	117
164	97
139	121
153	113
145	113
152	111
170	87
137	118
145	136
161	75
152	118
168	101
152	112
134	140
161	128
174	131
153	90
146	109
184	78
112	104
192	123
124	128
163	111
152	146
145	87
152	70
156	113
108	86
129	116
117	145
115	121
165	150
141	152
140	153
141	124
152	146
166	112
152	111
106	96
125	141
152	111
173	99
174	82
153	111
139	87
118	76
128	111
134	128
158	125
139	109
155	111
119	92
166	107
127	135
162	127
126	133
173	128
178	124
179	96
199	92
163	69
148	84
132	65
148	80
157	162
127	82
152	111
152	111
190	93
158	111
181	149
172	85
186	80
152	111
125	126
147	109
152	111
128	121
155	112
127	132
151	114
176	91
161	114
157	107
152	70
151	127
154	125
150	124
143	110
198	118
152	114
174	100
152	104
112	86
170	68
159	126
162	120
130	153
118	86
166	95
-----------
454	439
465	452
473	438
472	442
477	442
476	418
468	438
505	464
459	436
471	444
473	436
482	419
479	450
496	469
444	439
444	426
468	440
473	437
445	453
443	461
440	434
478	433
455	467
496	413
447	410
472	437
485	422
445	415
482	458
467	427
434	445
486	425
488	441
442	464
472	436
468	431
468	477
462	422
487	412
494	421
475	448
470	407
457	446
471	436
482	446
474	434
433	449
470	448
484	435
487	425
444	465
465	443
488	437
480	455
485	439
492	476
467	451
503	442
511	444
482	435
505	454
496	415
473	446
480	440
505	447
474	434
472	447
496	436
459	433
454	411
466	399
474	434
477	453
489	437
474	444
470	424
462	433
471	436
507	463
473	449
466	406
465	465
469	424
492	419
481	444
512	424
455	454
470	440
490	435
485	437
473	439
509	446
456	473
473	400
449	447
495	450
508	452
471	404
473	394
468	413
-----------
375	440
393	421
396	450
401	410
376	437
378	428
388	416
412	446
371	434
379	473
379	440
370	437
371	470
368	412
385	453
385	410
375	454
348	418
366	435
369	429
368	412
374	460
372	464
379	441
374	436
390	443
339	437
400	421
339	436
353	461
360	418
352	431
382	463
394	439
354	463
412	453
350	455
378	427
373	439
381	448
388	407
374	441
335	439
397	439
393	446
372	401
375	440
338	457
398	432
376	477
365	419
378	445
412	423
354	410
369	428
387	451
397	434
343	440
387	467
346	419
388	448
350	407
379	446
394	442
386	438
366	429
397	412
371	438
391	422
385	463
388	443
389	443
379	399
392	477
392	403
384	435
338	432
378	451
345	437
355	412
392	438
373	454
380	422
370	429
393	474
366	433
375	459
374	440
365	454
367	425
368	420
375	441
379	438
373	419
377	427
391	449
383	445
380	414
355	426
377	431
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
-----------
